Sample in Buffer,Sample in Window,TRIGGER,Uart_ETH_i/Uart_Blocks/Uart_0/Uart_Rec_0/fifo_generator_0_data_count[8:0],Uart_ETH_i/Uart_Blocks/Uart_0/Uart_Rec_0/UART_RX_1_o_Data[7:0],Uart_ETH_i/Uart_Blocks/Uart_0/Uart_Rec_0/fifo_generator_0_dout[7:0],Uart_ETH_i/Uart_Blocks/Uart_0/Uart_Rec_0/DataMove_0_uart_V_read,Uart_ETH_i/Uart_Blocks/Uart_0/Uart_Rec_0/UART_RX_1_o_Valid,Uart_ETH_i/Uart_Blocks/Uart_0/Uart_Rec_0/fifo_generator_0_empty,Uart_ETH_i/Uart_Blocks/Uart_0/Uart_Rec_0/busy_V_1
0,0,1,0,bb,bb,0,0,1,0
1,1,0,0,96,bb,0,1,1,0
2,2,0,0,96,96,0,1,1,0
3,3,0,0,96,96,0,1,1,0
4,4,0,0,96,96,0,1,1,0
5,5,0,0,90,96,0,1,1,0
6,6,0,0,e8,90,0,1,1,0
7,7,0,0,03,e8,0,1,1,0
8,8,0,0,00,03,0,1,1,0
9,9,0,0,00,00,0,1,1,0
10,10,0,0,01,00,0,1,1,0
11,11,0,0,bc,01,0,1,1,0
12,12,0,0,c3,bc,0,1,1,0
13,13,0,0,89,c3,0,1,1,1
14,14,0,0,50,89,0,1,1,0
15,15,0,0,4e,50,0,1,1,0
16,16,0,0,47,4e,0,1,1,0
17,17,0,0,0d,47,0,1,1,1
18,18,0,0,0a,0d,0,1,1,0
19,19,0,0,1a,0a,0,1,1,0
20,20,0,0,0a,1a,0,1,1,0
21,21,0,0,00,0a,0,1,1,0
22,22,0,0,00,00,0,1,1,0
23,23,0,0,00,00,0,1,1,0
24,24,0,0,0d,00,0,1,1,0
25,25,0,0,49,0d,0,1,1,0
26,26,0,0,48,49,0,1,1,0
27,27,0,0,44,48,0,1,1,0
28,28,0,0,52,44,0,1,1,0
29,29,0,0,00,52,0,1,1,0
30,30,0,0,00,00,0,1,1,0
31,31,0,0,01,00,0,1,1,0
32,32,0,0,e7,01,0,1,1,0
33,33,0,0,00,e7,0,1,1,1
34,34,0,0,00,00,0,1,1,0
35,35,0,0,01,00,0,1,1,0
36,36,0,0,00,01,0,1,1,1
37,37,0,0,08,00,0,1,1,0
38,38,0,0,02,08,0,1,1,0
39,39,0,0,00,02,0,1,1,0
40,40,0,0,00,00,0,1,1,0
41,41,0,0,00,00,0,1,1,0
42,42,0,0,06,00,0,1,1,0
43,43,0,0,2e,06,0,1,1,0
44,44,0,0,29,2e,0,1,1,0
45,45,0,0,39,29,0,1,1,0
46,46,0,0,00,39,0,1,1,0
47,47,0,0,00,00,0,1,1,0
48,48,0,0,00,00,0,1,1,0
49,49,0,0,04,00,0,1,1,0
50,50,0,0,67,04,0,1,1,0
